source,target,edge_type,decision_date,fine_amount
Spanish Data Protection Agency,Spain_43,decided_by,,0.0
Spanish Data Protection Agency,Spain_48,decided_by,,0.0
Spanish Data Protection Agency,Spain_51,decided_by,,0.0
Spanish Data Protection Agency,Spain_49,decided_by,2022-08-04 00:00:00+00:00,24000.0
Spanish Data Protection Agency,Spain_46,decided_by,,0.0
Spanish Data Protection Agency,Spain_52,decided_by,,0.0
Spanish Data Protection Agency,Spain_53,decided_by,,300.0
Spanish Data Protection Agency,Spain_56,decided_by,,0.0
Spanish Data Protection Agency,Spain_54,decided_by,,56000.0
Spanish Data Protection Agency,Spain_59,decided_by,,80000.0
Spanish Data Protection Agency,Spain_60,decided_by,,10000.0
Spanish Data Protection Agency,Spain_64,decided_by,,70000.0
Spanish Data Protection Agency,Spain_65,decided_by,,48000.0
Spanish Data Protection Agency,Spain_67,decided_by,,17000.0
