feature,source,block,feature_type,observed_share,mean,variance,status_discussed,status_not_mentioned,status_not_discussed
raw_q10_SME_NOT_MENTIONED_UNCLEAR_1,raw_q10,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q11_LOCAL_MUNICIPAL,raw_q11,Other,categorical,1.0,0.05585106382978723,0.05273172249886827,,,
raw_q11_MISSING,raw_q11,Other,categorical,1.0,0.034574468085106384,0.03337907424173835,,,
raw_q11_NATIONAL_FEDERAL,raw_q11,Other,categorical,1.0,0.0398936170212766,0.03830211634223629,,,
raw_q11_NOT_APPLICABLE,raw_q11,Other,categorical,1.0,0.8271276595744681,0.1429874943413309,,,
raw_q11_NOT_DISCUSSED,raw_q11,Other,categorical,1.0,0.007978723404255319,0.007915063377093709,,,
raw_q11_REGIONAL_PROVINCIAL,raw_q11,Other,categorical,1.0,0.031914893617021274,0.030896333182435495,,,
raw_q11_UNCLEAR,raw_q11,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_1102,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_35_11,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_3510,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_35140,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_4322,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_4649_Wholesale_of_furniture_carpets_and_lighting_equipment,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_47_91,raw_q12,Other,categorical,1.0,0.010638297872340425,0.010525124490719785,,,
raw_q12_4772,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_51_10,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_5224,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_5510,raw_q12,Other,categorical,1.0,0.005319148936170213,0.00529085559076505,,,
raw_q12_56_10,raw_q12,Other,categorical,1.0,0.005319148936170213,0.005290855590765049,,,
raw_q12_5610,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_5621,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_58,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_5813,raw_q12,Other,categorical,1.0,0.005319148936170213,0.005290855590765049,,,
raw_q12_61,raw_q12,Other,categorical,1.0,0.023936170212765957,0.023363229968311458,,,
raw_q12_61_10,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_61_20,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_6110,raw_q12,Other,categorical,1.0,0.007978723404255319,0.007915063377093709,,,
raw_q12_6201,raw_q12,Other,categorical,1.0,0.005319148936170213,0.00529085559076505,,,
raw_q12_6209,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_63_11,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q12_63_12,raw_q12,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
