node,node_type,country,country_group,total_decisions,total_fines_eur,avg_fine_eur,breach_cases,year,quarter,fine_eur,breach_case,severity_measures,n_principles_violated,cross_border
Spain_75,decision,,,,,,,,,48000.0,True,True,1.0,False
Spain_81,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_78,decision,,,,,,,2024.0,Q1,600000.0,False,True,3.0,False
Spain_76,decision,,,,,,,,,16000.0,False,False,1.0,False
Spain_82,decision,,,,,,,,,70000.0,False,True,2.0,False
Spain_80,decision,,,,,,,,,14000.0,False,True,3.0,False
Spain_83,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_85,decision,,,,,,,,,1000.0,False,True,1.0,False
Spain_84,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_87,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_86,decision,,,,,,,,,1200.0,False,True,1.0,False
Spain_88,decision,,,,,,,2024.0,Q1,30000.0,False,True,1.0,False
Spain_91,decision,,,,,,,,,5000.0,False,True,1.0,False
Spain_93,decision,,,,,,,,,24000.0,False,True,1.0,False
Spain_89,decision,,,,,,,2024.0,Q1,15000.0,False,True,1.0,False
Spain_90,decision,,,,,,,2024.0,Q1,300000.0,False,True,1.0,False
Spain_94,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_95,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_92,decision,,,,,,,,,0.0,False,False,2.0,False
Spain_96,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_98,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_99,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_100,decision,,,,,,,,,6000.0,False,True,1.0,False
Spain_97,decision,,,,,,,,,365000.0,False,True,3.0,False
Spain_103,decision,,,,,,,,,24000.0,False,True,1.0,False
Spain_102,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_101,decision,,,,,,,,,56000.0,False,True,1.0,False
Spain_107,decision,,,,,,,,,30000.0,False,True,1.0,False
Spain_105,decision,,,,,,,,,0.0,False,True,2.0,False
Spain_106,decision,,,,,,,,,2000.0,False,False,0.0,False
Spain_104,decision,,,,,,,,,56000.0,False,False,0.0,False
Spain_108,decision,,,,,,,,,0.0,True,True,1.0,False
Spain_110,decision,,,,,,,,,10000.0,False,True,1.0,False
Spain_111,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_109,decision,,,,,,,,,3000.0,False,True,0.0,False
Spain_112,decision,,,,,,,,,8000.0,False,True,0.0,False
Spain_116,decision,,,,,,,,,3000.0,False,True,1.0,False
Spain_117,decision,,,,,,,,,0.0,False,False,1.0,False
Spain_115,decision,,,,,,,2024.0,Q1,3500000.0,True,True,1.0,False
Spain_114,decision,,,,,,,,,50000.0,False,True,1.0,False
Spain_119,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_113,decision,,,,,,,,,70000.0,False,False,2.0,False
Spain_118,decision,,,,,,,,,5000.0,False,True,1.0,False
Spain_121,decision,,,,,,,,,10000.0,False,True,1.0,False
Spain_120,decision,,,,,,,,,70000.0,False,True,1.0,False
Spain_122,decision,,,,,,,,,7000.0,False,True,1.0,False
Spain_124,decision,,,,,,,,,300.0,False,True,1.0,False
Spain_126,decision,,,,,,,,,80000.0,False,True,1.0,False
Spain_125,decision,,,,,,,,,50000.0,False,True,1.0,False
Spain_127,decision,,,,,,,,,5000.0,False,True,1.0,False
Spain_123,decision,,,,,,,,,2000.0,False,True,0.0,False
Spain_130,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_129,decision,,,,,,,,,4000.0,False,True,1.0,False
Spain_128,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_133,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_131,decision,,,,,,,,,3000.0,False,True,1.0,False
Spain_132,decision,,,,,,,,,20000.0,False,False,0.0,False
Spain_134,decision,,,,,,,,,72000.0,False,True,2.0,False
Spain_137,decision,,,,,,,,,300.0,False,True,0.0,False
Spain_135,decision,,,,,,,,,600.0,False,True,1.0,False
Spain_136,decision,,,,,,,,,8000.0,False,False,0.0,False
Spain_138,decision,,,,,,,,,1500.0,False,True,2.0,False
Spain_139,decision,,,,,,,,,1200.0,True,True,1.0,False
Spain_141,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_140,decision,,,,,,,2024.0,Q1,250000.0,False,True,3.0,False
Spain_142,decision,,,,,,,,,200000.0,False,True,1.0,False
Spain_143,decision,,,,,,,,,300.0,False,False,0.0,False
Spain_144,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_146,decision,,,,,,,,,10000.0,False,True,1.0,False
Spain_147,decision,,,,,,,,,10000.0,False,True,1.0,False
Spain_149,decision,,,,,,,,,12000.0,False,True,2.0,False
Spain_151,decision,,,,,,,2024.0,Q1,200000.0,False,True,1.0,False
Spain_150,decision,,,,,,,2024.0,Q1,220000.0,False,True,3.0,False
Spain_152,decision,,,,,,,2024.0,Q1,1200000.0,False,True,2.0,False
Spain_154,decision,,,,,,,2024.0,Q1,3500000.0,True,True,1.0,False
Spain_153,decision,,,,,,,,,120000.0,False,True,5.0,False
Spain_155,decision,,,,,,,,,1600000.0,False,True,1.0,False
Spain_156,decision,,,,,,,,,4000000.0,False,True,0.0,False
Spain_158,decision,,,,,,,,,10000.0,False,False,0.0,False
Spain_157,decision,,,,,,,,,120000.0,False,True,5.0,False
Spain_160,decision,,,,,,,,,1200000.0,False,True,1.0,False
Spain_159,decision,,,,,,,,,42000.0,False,True,1.0,False
Spain_162,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_161,decision,,,,,,,,,200000.0,True,True,1.0,False
Spain_164,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_165,decision,,,,,,,,,200000.0,False,True,1.0,False
Spain_163,decision,,,,,,,,,70000.0,False,True,1.0,False
Spain_168,decision,,,,,,,,,0.0,True,False,1.0,False
Spain_169,decision,,,,,,,,,3000.0,False,False,1.0,False
Spain_166,decision,,,,,,,,,180000.0,False,True,3.0,False
Spain_174,decision,,,,,,,,,70000.0,True,True,1.0,False
Spain_173,decision,,,,,,,,,48000.0,False,True,0.0,False
Spain_171,decision,,,,,,,,,120000.0,False,False,0.0,False
Spain_172,decision,,,,,,,,,180000.0,False,True,1.0,False
Spain_179,decision,,,,,,,,,20000.0,False,True,0.0,False
Spain_178,decision,,,,,,,,,100000.0,False,True,1.0,False
Spain_177,decision,,,,,,,2024.0,Q3,270000.0,True,True,1.0,False
Spain_175,decision,,,,,,,,,72000.0,False,True,1.0,False
Spain_176,decision,,,,,,,,,360000.0,False,False,0.0,False
Spain_181,decision,,,,,,,,,120000.0,False,True,1.0,False
Spain_187,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_180,decision,,,,,,,2024.0,Q4,42000.0,False,True,1.0,False
Spain_182,decision,,,,,,,2024.0,Q1,3000000.0,True,True,1.0,False
Spain_186,decision,,,,,,,2023.0,Q4,0.0,False,False,0.0,False
Spain_185,decision,,,,,,,,,60000.0,False,True,1.0,False
Spain_188,decision,,,,,,,,,500000.0,False,True,1.0,False
Spain_189,decision,,,,,,,,,7500.0,False,True,2.0,False
Spain_183,decision,,,,,,,,,0.0,False,True,2.0,False
Spain_190,decision,,,,,,,,,500.0,False,True,0.0,False
Spain_191,decision,,,,,,,,,12000.0,False,True,1.0,False
Spain_194,decision,,,,,,,,,2000.0,False,True,1.0,False
Spain_192,decision,,,,,,,2024.0,Q1,200000.0,False,True,1.0,False
Spain_193,decision,,,,,,,,,100000.0,False,True,3.0,False
Spain_196,decision,,,,,,,,,0.0,False,False,1.0,False
Spain_195,decision,,,,,,,,,10000.0,False,True,1.0,False
Spain_200,decision,,,,,,,,,2000.0,False,True,1.0,False
Spain_199,decision,,,,,,,2024.0,Q1,600.0,False,True,1.0,False
Spain_197,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_198,decision,,,,,,,,,15000.0,False,False,2.0,False
Spain_202,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_201,decision,,,,,,,,,3000.0,False,True,2.0,False
Spain_203,decision,,,,,,,,,4000.0,False,True,1.0,False
Spain_206,decision,,,,,,,2024.0,Q1,5000.0,False,True,1.0,False
Spain_205,decision,,,,,,,,,60000.0,True,True,1.0,False
Spain_204,decision,,,,,,,,,12000.0,False,True,1.0,False
Spain_208,decision,,,,,,,,,56000.0,False,True,1.0,False
Spain_207,decision,,,,,,,,,96000.0,False,True,4.0,False
Spain_209,decision,,,,,,,,,1200.0,False,True,1.0,False
Spain_210,decision,,,,,,,,,200000.0,False,True,1.0,False
Spain_212,decision,,,,,,,,,30000.0,False,True,1.0,False
Spain_211,decision,,,,,,,,,24000.0,False,False,1.0,False
Spain_214,decision,,,,,,,,,0.0,False,False,1.0,False
Spain_215,decision,,,,,,,2024.0,Q4,180000.0,False,True,1.0,False
Spain_219,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_216,decision,,,,,,,,,1200.0,False,True,1.0,False
Spain_217,decision,,,,,,,,,150000.0,False,True,3.0,False
Spain_220,decision,,,,,,,,,500.0,False,True,1.0,False
Spain_218,decision,,,,,,,,,200000.0,False,False,0.0,False
Spain_221,decision,,,,,,,,,4000.0,False,False,0.0,False
Spain_222,decision,,,,,,,2024.0,Q2,120000.0,False,True,1.0,False
Spain_224,decision,,,,,,,,,10000.0,False,False,0.0,False
Spain_225,decision,,,,,,,,,100000.0,False,True,1.0,False
Spain_228,decision,,,,,,,,,1000.0,False,True,1.0,False
Spain_227,decision,,,,,,,,,30000.0,False,True,1.0,False
Spain_226,decision,,,,,,,,,96000.0,False,False,0.0,False
Spain_230,decision,,,,,,,,,600.0,False,True,1.0,False
Spain_231,decision,,,,,,,,,18000.0,True,True,2.0,False
Spain_232,decision,,,,,,,,,10000.0,False,True,1.0,False
Spain_233,decision,,,,,,,,,120000.0,False,False,0.0,False
Spain_235,decision,,,,,,,,,600.0,True,True,1.0,False
